Date,Open,High,Low,Close,Volume
2025-04-09,413.1142,465.0653,412.975,463.2462,142876900
2025-04-10,450.8797,452.8977,430.0734,443.5433,108384100
2025-04-11,442.0223,453.0965,438.7219,451.7147,52483800
2025-04-14,461.7152,462.3017,449.9551,454.7765,43941200
2025-04-15,455.8302,459.6475,453.4543,455.2834,35404200
2025-04-16,446.3764,449.9452,435.173,441.5551,48980600
2025-04-17,444.5274,445.104,438.7517,441.4756,44837000
2025-04-21,435.6403,436.4852,425.4011,430.5505,44149300
2025-04-22,436.2268,444.935,435.0339,441.8534,52304400
2025-04-23,455.4624,460.6416,450.2037,451.8737,55801100
2025-04-24,453.7824,464.8963,453.1362,464.5882,45956100
2025-04-25,464.2104,470.2942,462.6398,469.7674,38697100
2025-04-28,470.2346,472.0041,463.276,469.6183,33550800
2025-04-29,467.3915,473.6046,466.8149,472.7198,30613100
2025-04-30,464.3695,474.38,459.6972,472.6602,46810600
2025-05-01,480.5533,484.301,477.899,478.8335,43316500
2025-05-02,483.6648,488.0089,481.9649,485.9412,39218100
2025-05-05,481.7362,486.14,481.2392,483.0583,28309500
2025-05-06,476.726,482.1836,475.3641,478.5651,32786300
2025-05-07,479.2311,482.9291,473.9624,480.4439,38006300
2025-05-08,485.643,489.7884,481.3088,485.4044,39577600
2025-05-09,487.313,488.6352,483.3267,485.0863,27767400
2025-05-12,503.9939,504.8886,498.5165,504.8488,45090600
2025-05-13,506.1511,514.3325,505.4155,512.5432,53269600
2025-05-14,513.7161,516.1615,512.7021,515.6148,47014500
2025-05-15,513.4675,518.8456,512.1255,516.1814,50153300
2025-05-16,517.5831,518.617,514.0442,518.4282,48394600
2025-05-19,511.2011,519.4421,511.2011,518.9252,52536200
2025-05-20,516.4001,517.8514,513.6067,517.1954,42517600
2025-05-21,513.219,519.9092,508.2187,510.0081,71292800
2025-05-22,510.6245,514.6506,509.2725,510.9625,55607200
2025-05-23,503.1887,508.8152,502.5922,506.2306,58368100
2025-05-27,513.0998,518.6269,511.549,518.1398,47226300
2025-05-28,519.0941,520.5852,515.3265,515.8434,46637200
2025-05-29,523.2196,523.3687,514.2629,516.8574,58513300
2025-05-30,516.3703,517.603,508.9047,516.0422,67662800
2025-06-02,514.1833,520.3566,512.9208,520.118,44762800
2025-06-03,520.4659,525.6153,519.6011,524.1838,44070300
2025-06-04,524.8897,526.7089,522.8617,525.6452,41359300
2025-06-05,527.0469,529.8999,519.5713,521.6887,61031200
2025-06-06,526.8679,528.6573,525.0885,526.7884,42467000
2025-06-09,527.0071,529.204,525.8838,527.5638,33688700
2025-06-10,528.031,531.739,525.7645,531.053,40664800
2025-06-11,532.4547,533.6079,526.9773,529.2637,53701000
2025-06-12,527.9515,531.4805,527.7029,530.5062,34104900
2025-06-13,524.5617,528.7269,522.6232,523.8459,55814400
2025-06-16,527.365,532.2062,527.3153,531.1326,37622100
2025-06-17,528.5678,530.1783,524.7902,525.9534,42180900
2025-06-18,526.9673,529.4028,524.2833,525.8638,43983500
2025-06-20,529.1146,530.4069,521.7782,523.7167,61643500
2025-06-23,524.2849,529.6192,521.1401,529.1017,50666100
2025-06-24,534.3166,538.1084,533.6996,537.1928,45442000
2025-06-25,539.4618,540.7058,536.7947,538.5661,44804200
2025-06-26,540.7457,544.0498,538.9245,543.6019,43811400
2025-06-27,544.6369,547.3537,541.9299,545.4629,57577100
2025-06-30,548.6177,550.1503,546.3785,548.9959,45548700
2025-07-01,547.095,548.0704,542.0493,544.3682,56166700
2025-07-02,543.5422,548.359,543.5024,548.16,36538300
2025-07-03,550.5285,554.5293,550.5285,553.554,26443500
2025-07-07,550.8669,551.683,546.9458,549.3841,45349300
2025-07-08,550.7276,551.3546,548.4585,549.6926,36153300
2025-07-09,551.8223,554.9573,550.4489,553.5839,43045500
2025-07-10,554.2208,554.6288,550.1006,552.7877,34710900
2025-07-11,550.6479,553.126,549.4039,551.5436,39618600
2025-07-14,551.3346,554.2804,548.9859,553.544,36453300
2025-07-15,557.5647,558.112,553.9919,554.0516,43277700
2025-07-16,554.6089,557.5248,548.9163,554.6188,52314700
2025-07-17,555.3453,559.6147,554.5392,559.1072,40423800
2025-07-18,560.4209,562.0232,557.2959,558.5698,50484700
